Company,Market Share (%),Annual Revenue (₹),Number of Installations,Pricing Model,Key Features,Regions with Highest Usage
Just Billing,5.57,880000000,79205,Subscription,E-commerce Integration,Metropolitan Cities
Posiflex,5.43,637000000,32302,One-time Purchase,Enterprise Solutions,Tier 1 Cities
FusionResto,9.21,544000000,147355,Subscription,Inventory Management,Nationwide
Shopify POS,11.32,163000000,167007,Subscription,Enterprise Solutions,Metropolitan Cities
RetailGraph,20.94,160000000,77534,Subscription,Integrated Payments,Rural Areas
Tally,3.88,810000000,167696,One-time Purchase,Enterprise Solutions,Rural Areas
Petpooja,18.64,488000000,18440,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Ezetap,13.75,764000000,116001,Subscription,Customer Loyalty,Metropolitan Cities
Gofrugal,7.91,196000000,51501,Subscription,Merchant Financing,Tier 2 Cities
Razorpay,12.83,84000000,137341,Subscription,E-commerce Integration,Metropolitan Cities
Ezetap,8.2,358000000,12868,One-time Purchase,Analytics,Rural Areas
Gofrugal,15.31,587000000,166323,One-time Purchase,Mobile POS,Tier 1 Cities
Just Billing,11.41,799000000,82909,Subscription,Analytics,Tier 1 Cities
Gofrugal,4.95,63000000,89523,One-time Purchase,Enterprise Solutions,Tier 2 Cities
Vend,3.8,423000000,174801,One-time Purchase,Inventory Management,Tier 1 Cities
Mswipe,14.12,606000000,20734,One-time Purchase,Integrated Payments,Tier 1 Cities
Vend,22.66,477000000,178501,One-time Purchase,E-commerce Integration,Tier 1 Cities
Unicommerce,9.25,777000000,177409,Subscription,Integrated Payments,Tier 1 Cities
Ezetap,18.59,282000000,176397,One-time Purchase,Customer Loyalty,Tier 1 Cities
Paytm,16.81,754000000,88600,One-time Purchase,Integrated Payments,Rural Areas
Tally,23.36,612000000,198586,Subscription,Mobile POS,Metropolitan Cities
Logic ERP,20.7,988000000,13433,Subscription,Inventory Management,Nationwide
Logic ERP,14.6,936000000,145183,One-time Purchase,Analytics,Tier 1 Cities
Gofrugal,16.77,775000000,108986,One-time Purchase,Enterprise Solutions,Nationwide
Razorpay,22.56,712000000,68753,Subscription,Enterprise Solutions,Nationwide
Petpooja,10.59,489000000,118783,Subscription,Inventory Management,Rural Areas
Mswipe,8.84,551000000,26751,Subscription,E-commerce Integration,Tier 1 Cities
RetailNext,1.26,324000000,152525,One-time Purchase,Integrated Payments,Nationwide
Pine Labs,20.84,899000000,175040,One-time Purchase,E-commerce Integration,Tier 1 Cities
Posiflex,20.22,125000000,166149,Subscription,Analytics,Tier 2 Cities
FusionResto,3.51,488000000,170847,One-time Purchase,E-commerce Integration,Tier 2 Cities
Paytm,14.84,781000000,194216,Subscription,Customer Loyalty,Tier 2 Cities
Shopify POS,12.14,909000000,53570,One-time Purchase,Inventory Management,Nationwide
Shopify POS,3.85,748000000,182169,Subscription,Analytics,Tier 2 Cities
Paytm,24.53,338000000,29503,Subscription,Analytics,Rural Areas
Paytm,6.15,964000000,138851,One-time Purchase,Merchant Financing,Rural Areas
FusionResto,2.61,589000000,91840,One-time Purchase,Analytics,Nationwide
Posiflex,15.28,940000000,136827,One-time Purchase,Merchant Financing,Tier 1 Cities
Retail Pro,18.73,741000000,44263,One-time Purchase,Mobile POS,Metropolitan Cities
FusionResto,1.78,302000000,113491,One-time Purchase,Enterprise Solutions,Tier 1 Cities
RetailGraph,16.81,175000000,60087,One-time Purchase,Merchant Financing,Tier 1 Cities
Logic ERP,13.78,226000000,178353,Subscription,Inventory Management,Tier 1 Cities
Shopify POS,3.48,86000000,56482,One-time Purchase,E-commerce Integration,Tier 1 Cities
Shopify POS,5.14,459000000,190929,Subscription,Merchant Financing,Metropolitan Cities
RetailGraph,14.63,660000000,127989,Subscription,Analytics,Tier 2 Cities
Razorpay,8.11,659000000,153472,One-time Purchase,Inventory Management,Tier 1 Cities
Pine Labs,23.52,176000000,45115,Subscription,Merchant Financing,Rural Areas
RetailGraph,20.65,532000000,19249,Subscription,Merchant Financing,Nationwide
Pine Labs,24.61,217000000,182897,One-time Purchase,Analytics,Nationwide
Logic ERP,7.23,641000000,115361,One-time Purchase,Customer Loyalty,Rural Areas
Shopify POS,24.27,343000000,29600,One-time Purchase,Customer Loyalty,Tier 1 Cities
Shopify POS,11.35,894000000,42706,Subscription,Merchant Financing,Metropolitan Cities
Gofrugal,9.34,687000000,24222,One-time Purchase,Customer Loyalty,Tier 2 Cities
Just Billing,2.21,392000000,104041,One-time Purchase,Integrated Payments,Nationwide
Petpooja,2.27,359000000,109504,One-time Purchase,Analytics,Tier 2 Cities
Petpooja,17.61,711000000,46139,One-time Purchase,Integrated Payments,Metropolitan Cities
Ezetap,11.99,577000000,119919,Subscription,Inventory Management,Nationwide
Pine Labs,6.44,589000000,46302,One-time Purchase,Integrated Payments,Tier 2 Cities
FusionResto,15.74,468000000,92838,Subscription,Inventory Management,Metropolitan Cities
Mswipe,7.07,493000000,144718,One-time Purchase,Merchant Financing,Tier 2 Cities
Logic ERP,14.86,734000000,149615,Subscription,Inventory Management,Tier 1 Cities
Petpooja,9.62,607000000,158857,Subscription,Inventory Management,Metropolitan Cities
Razorpay,20.77,889000000,83353,Subscription,E-commerce Integration,Tier 2 Cities
Ezetap,20.7,285000000,167478,One-time Purchase,Integrated Payments,Tier 1 Cities
Just Billing,12.46,488000000,93992,Subscription,E-commerce Integration,Tier 1 Cities
RetailNext,9.42,263000000,56428,One-time Purchase,Merchant Financing,Metropolitan Cities
Paytm,9.7,134000000,28777,One-time Purchase,Analytics,Rural Areas
Tally,20.34,843000000,62939,One-time Purchase,Integrated Payments,Nationwide
RetailNext,8.88,793000000,189098,One-time Purchase,Analytics,Metropolitan Cities
RetailNext,6.02,134000000,91450,One-time Purchase,Analytics,Tier 1 Cities
Logic ERP,3.03,970000000,165625,Subscription,Inventory Management,Tier 1 Cities
Posiflex,12.2,538000000,28548,One-time Purchase,Enterprise Solutions,Metropolitan Cities
Marg ERP,12.57,114000000,199293,Subscription,Integrated Payments,Rural Areas
Posiflex,21.18,695000000,173337,Subscription,Analytics,Nationwide
Vend,6.31,712000000,130549,Subscription,Enterprise Solutions,Tier 2 Cities
Ezetap,10.14,676000000,176773,Subscription,Customer Loyalty,Metropolitan Cities
Retail Pro,20.4,113000000,187359,Subscription,Analytics,Nationwide
Razorpay,20.77,392000000,142799,Subscription,Customer Loyalty,Nationwide
Gofrugal,10.23,988000000,186789,Subscription,Integrated Payments,Tier 1 Cities
Shopify POS,12.02,924000000,168499,One-time Purchase,Merchant Financing,Tier 2 Cities
Marg ERP,8.28,968000000,152764,Subscription,E-commerce Integration,Metropolitan Cities
RetailGraph,23.38,401000000,36625,One-time Purchase,Integrated Payments,Tier 1 Cities
Shopify POS,3.85,207000000,29918,Subscription,E-commerce Integration,Tier 1 Cities
Logic ERP,23.41,638000000,177208,Subscription,E-commerce Integration,Rural Areas
Vend,17.41,540000000,119826,Subscription,Integrated Payments,Nationwide
Petpooja,13.76,707000000,119881,Subscription,Analytics,Metropolitan Cities
Unicommerce,1.78,904000000,188481,One-time Purchase,Mobile POS,Metropolitan Cities
RetailNext,12.41,512000000,20577,One-time Purchase,Analytics,Metropolitan Cities
Unicommerce,10.79,274000000,90155,One-time Purchase,Analytics,Tier 1 Cities
Posiflex,4.87,966000000,116776,Subscription,Merchant Financing,Rural Areas
Retail Pro,16.75,362000000,104246,Subscription,Inventory Management,Tier 2 Cities
Retail Pro,24.31,664000000,163761,Subscription,Inventory Management,Tier 1 Cities
Razorpay,14.49,968000000,147226,One-time Purchase,Analytics,Tier 2 Cities
Marg ERP,18.15,908000000,99948,Subscription,Customer Loyalty,Rural Areas
Paytm,2.64,862000000,26341,One-time Purchase,Merchant Financing,Nationwide
Ezetap,11.02,989000000,102554,One-time Purchase,E-commerce Integration,Metropolitan Cities
Pine Labs,3.79,515000000,112798,Subscription,Enterprise Solutions,Tier 2 Cities
Paytm,15.71,137000000,51330,Subscription,Inventory Management,Tier 1 Cities
Marg ERP,23.52,932000000,92759,One-time Purchase,Analytics,Tier 2 Cities
Vend,16.88,352000000,91807,One-time Purchase,Merchant Financing,Nationwide
Razorpay,2.84,729000000,38313,One-time Purchase,Mobile POS,Metropolitan Cities
Mswipe,9.51,484000000,51900,Subscription,Customer Loyalty,Tier 2 Cities
Gofrugal,14.22,731000000,83840,Subscription,Integrated Payments,Nationwide
Razorpay,10.68,184000000,170767,Subscription,Analytics,Tier 1 Cities
Paytm,21.01,99000000,166297,Subscription,Merchant Financing,Rural Areas
Mswipe,20.55,481000000,91072,Subscription,Analytics,Tier 1 Cities
FusionResto,15.68,389000000,101367,Subscription,Enterprise Solutions,Metropolitan Cities
Shopify POS,9.96,396000000,54156,One-time Purchase,E-commerce Integration,Tier 1 Cities
Logic ERP,7.13,695000000,92453,One-time Purchase,Customer Loyalty,Tier 1 Cities
Ezetap,3.54,396000000,163901,One-time Purchase,Inventory Management,Tier 1 Cities
Petpooja,9.52,698000000,30938,Subscription,Inventory Management,Tier 1 Cities
SnapBizz,10.92,294000000,64164,One-time Purchase,Inventory Management,Metropolitan Cities
Ezetap,17.22,158000000,190602,Subscription,Enterprise Solutions,Nationwide
Gofrugal,16.8,874000000,65282,Subscription,Integrated Payments,Tier 2 Cities
Vend,2.68,848000000,52801,One-time Purchase,Merchant Financing,Rural Areas
Posiflex,10.49,582000000,145537,Subscription,Customer Loyalty,Tier 2 Cities
Posiflex,5.36,139000000,8326,One-time Purchase,Customer Loyalty,Tier 2 Cities
SnapBizz,4.76,345000000,139731,One-time Purchase,Inventory Management,Rural Areas
Shopify POS,20.86,161000000,196361,Subscription,Inventory Management,Metropolitan Cities
Paytm,2.01,862000000,163666,One-time Purchase,E-commerce Integration,Rural Areas
RetailNext,11.06,638000000,120819,One-time Purchase,Enterprise Solutions,Metropolitan Cities
Marg ERP,5.04,226000000,9763,One-time Purchase,Mobile POS,Tier 2 Cities
Razorpay,22.1,392000000,146900,One-time Purchase,Mobile POS,Metropolitan Cities
Tally,14.37,709000000,52588,Subscription,Analytics,Nationwide
SnapBizz,6.55,150000000,16221,One-time Purchase,Analytics,Rural Areas
RetailNext,13.06,807000000,147283,One-time Purchase,Customer Loyalty,Nationwide
Razorpay,18.56,678000000,18569,One-time Purchase,Customer Loyalty,Tier 2 Cities
Marg ERP,23.99,653000000,42860,Subscription,Integrated Payments,Rural Areas
Petpooja,6.29,450000000,50337,One-time Purchase,Integrated Payments,Tier 2 Cities
Ezetap,22.27,77000000,188383,Subscription,Mobile POS,Nationwide
Logic ERP,23.42,986000000,149587,One-time Purchase,Enterprise Solutions,Tier 2 Cities
RetailGraph,22.99,586000000,76695,One-time Purchase,Analytics,Rural Areas
Ezetap,16.25,107000000,111749,One-time Purchase,Mobile POS,Rural Areas
Unicommerce,16.12,547000000,160976,Subscription,Enterprise Solutions,Tier 2 Cities
RetailNext,10.68,346000000,196007,Subscription,Mobile POS,Rural Areas
Retail Pro,19.06,183000000,48790,Subscription,Analytics,Rural Areas
Unicommerce,13.75,380000000,73580,Subscription,Merchant Financing,Tier 2 Cities
Marg ERP,17.26,298000000,10636,Subscription,Integrated Payments,Nationwide
Razorpay,11.28,599000000,82129,Subscription,E-commerce Integration,Rural Areas
Posiflex,18.56,951000000,138964,One-time Purchase,E-commerce Integration,Rural Areas
Unicommerce,20.79,990000000,26672,Subscription,E-commerce Integration,Rural Areas
Vend,4.51,124000000,10812,One-time Purchase,Analytics,Rural Areas
FusionResto,20.99,703000000,5654,Subscription,Inventory Management,Tier 2 Cities
Unicommerce,13.97,883000000,59633,Subscription,Inventory Management,Nationwide
Gofrugal,21.27,217000000,22143,Subscription,Inventory Management,Nationwide
Gofrugal,11.35,820000000,60934,One-time Purchase,Customer Loyalty,Metropolitan Cities
Mswipe,10.1,552000000,72334,Subscription,Integrated Payments,Rural Areas
Petpooja,22.96,934000000,108463,Subscription,Integrated Payments,Rural Areas
FusionResto,7.03,404000000,130851,One-time Purchase,Merchant Financing,Metropolitan Cities
Just Billing,21.26,274000000,34087,One-time Purchase,Merchant Financing,Nationwide
Gofrugal,12.62,713000000,147690,One-time Purchase,Customer Loyalty,Tier 1 Cities
FusionResto,13.34,580000000,13446,One-time Purchase,Mobile POS,Tier 1 Cities
Razorpay,8.4,195000000,107127,Subscription,Enterprise Solutions,Nationwide
Unicommerce,14.75,290000000,53867,One-time Purchase,Merchant Financing,Rural Areas
Shopify POS,8.81,933000000,187100,Subscription,E-commerce Integration,Tier 1 Cities
Marg ERP,1.94,942000000,65101,Subscription,Inventory Management,Tier 2 Cities
Ezetap,7.53,393000000,163272,One-time Purchase,E-commerce Integration,Tier 2 Cities
SnapBizz,1.15,798000000,93074,Subscription,Inventory Management,Metropolitan Cities
FusionResto,24.48,84000000,197537,One-time Purchase,E-commerce Integration,Nationwide
Pine Labs,24.18,751000000,123422,Subscription,Mobile POS,Nationwide
RetailNext,10.48,50000000,92892,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Razorpay,18.48,202000000,125044,One-time Purchase,E-commerce Integration,Rural Areas
FusionResto,9.3,478000000,44148,One-time Purchase,E-commerce Integration,Nationwide
Petpooja,17.11,994000000,87928,One-time Purchase,Analytics,Tier 1 Cities
Mswipe,20.33,557000000,156770,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Vend,23.72,175000000,178542,One-time Purchase,E-commerce Integration,Nationwide
Marg ERP,10.61,540000000,56660,Subscription,Analytics,Tier 1 Cities
Posiflex,19.8,531000000,189982,Subscription,Integrated Payments,Metropolitan Cities
SnapBizz,7.38,394000000,40450,Subscription,Enterprise Solutions,Metropolitan Cities
Pine Labs,24.77,961000000,192535,One-time Purchase,Customer Loyalty,Nationwide
Marg ERP,1.62,787000000,38757,Subscription,Enterprise Solutions,Rural Areas
Posiflex,15.48,270000000,83012,One-time Purchase,Enterprise Solutions,Metropolitan Cities
FusionResto,16.83,964000000,111750,Subscription,E-commerce Integration,Metropolitan Cities
Mswipe,17.51,968000000,132043,Subscription,Integrated Payments,Nationwide
Petpooja,3.89,772000000,167462,One-time Purchase,Enterprise Solutions,Tier 2 Cities
Petpooja,23.52,74000000,61116,Subscription,Merchant Financing,Tier 1 Cities
Logic ERP,5.35,577000000,149233,Subscription,Merchant Financing,Metropolitan Cities
SnapBizz,15.95,231000000,37152,Subscription,Analytics,Tier 2 Cities
SnapBizz,6.34,548000000,111379,One-time Purchase,E-commerce Integration,Rural Areas
Shopify POS,8.37,890000000,25836,Subscription,E-commerce Integration,Tier 2 Cities
Shopify POS,14.12,690000000,191720,One-time Purchase,Enterprise Solutions,Nationwide
Paytm,11.01,91000000,162403,Subscription,Mobile POS,Rural Areas
FusionResto,4.85,964000000,146835,Subscription,Integrated Payments,Rural Areas
FusionResto,5.1,530000000,74444,Subscription,Inventory Management,Tier 2 Cities
Tally,11.04,979000000,98109,Subscription,Inventory Management,Nationwide
Unicommerce,19.17,897000000,155259,One-time Purchase,Mobile POS,Metropolitan Cities
Marg ERP,22.55,797000000,148029,Subscription,Analytics,Tier 2 Cities
Logic ERP,3.02,921000000,140451,One-time Purchase,Inventory Management,Metropolitan Cities
Pine Labs,10.43,488000000,164031,One-time Purchase,Enterprise Solutions,Tier 2 Cities
FusionResto,3.41,451000000,87018,Subscription,Inventory Management,Metropolitan Cities
Paytm,1.4,595000000,128076,Subscription,Merchant Financing,Tier 2 Cities
Marg ERP,16.88,394000000,163177,One-time Purchase,Merchant Financing,Rural Areas
Razorpay,15.46,942000000,136949,One-time Purchase,Customer Loyalty,Tier 1 Cities
Razorpay,4.91,94000000,184425,Subscription,Integrated Payments,Rural Areas
RetailGraph,6.61,695000000,88788,Subscription,Analytics,Metropolitan Cities
FusionResto,1.57,70000000,101870,Subscription,E-commerce Integration,Nationwide
RetailNext,21.04,683000000,88308,Subscription,Integrated Payments,Rural Areas
Just Billing,24.39,119000000,187639,Subscription,Analytics,Tier 1 Cities
Shopify POS,4.25,913000000,62913,One-time Purchase,Inventory Management,Metropolitan Cities
Paytm,6.56,922000000,7637,Subscription,Customer Loyalty,Rural Areas
Vend,21.84,97000000,47025,Subscription,Integrated Payments,Tier 2 Cities
Retail Pro,23.24,540000000,104508,One-time Purchase,Inventory Management,Nationwide
Pine Labs,11.07,600000000,87464,Subscription,Analytics,Metropolitan Cities
Retail Pro,2.21,336000000,33742,Subscription,Integrated Payments,Rural Areas
Mswipe,1.95,59000000,16831,One-time Purchase,E-commerce Integration,Metropolitan Cities
Razorpay,14.77,591000000,118768,Subscription,Integrated Payments,Tier 2 Cities
RetailNext,10.43,805000000,90092,One-time Purchase,Inventory Management,Tier 1 Cities
SnapBizz,1.69,323000000,95879,Subscription,Enterprise Solutions,Rural Areas
Pine Labs,15.0,649000000,93370,Subscription,Enterprise Solutions,Metropolitan Cities
FusionResto,1.27,805000000,131537,Subscription,Integrated Payments,Metropolitan Cities
Vend,19.9,430000000,182834,One-time Purchase,E-commerce Integration,Metropolitan Cities
RetailNext,8.35,378000000,109824,One-time Purchase,Customer Loyalty,Tier 1 Cities
Pine Labs,1.97,528000000,93741,One-time Purchase,Customer Loyalty,Metropolitan Cities
Ezetap,15.12,64000000,23830,One-time Purchase,Enterprise Solutions,Nationwide
Unicommerce,10.54,565000000,60044,Subscription,Inventory Management,Nationwide
SnapBizz,24.37,240000000,78948,One-time Purchase,Analytics,Metropolitan Cities
Vend,14.06,217000000,74202,One-time Purchase,Inventory Management,Nationwide
Logic ERP,7.61,570000000,42045,One-time Purchase,Customer Loyalty,Rural Areas
Unicommerce,18.03,670000000,112509,Subscription,Mobile POS,Nationwide
Paytm,7.52,186000000,162699,Subscription,Mobile POS,Metropolitan Cities
RetailNext,22.7,203000000,20198,One-time Purchase,Integrated Payments,Tier 2 Cities
Tally,9.99,437000000,74521,One-time Purchase,E-commerce Integration,Rural Areas
Unicommerce,14.2,258000000,111471,Subscription,Enterprise Solutions,Tier 1 Cities
Just Billing,2.21,321000000,34475,One-time Purchase,Merchant Financing,Metropolitan Cities
Gofrugal,11.23,192000000,24403,One-time Purchase,Merchant Financing,Tier 1 Cities
Shopify POS,20.98,660000000,8681,One-time Purchase,Merchant Financing,Tier 2 Cities
Razorpay,20.34,938000000,96555,One-time Purchase,Integrated Payments,Tier 1 Cities
Tally,6.38,869000000,123884,Subscription,Mobile POS,Metropolitan Cities
Mswipe,6.43,118000000,98122,Subscription,Customer Loyalty,Metropolitan Cities
RetailNext,20.62,296000000,120260,Subscription,Integrated Payments,Tier 2 Cities
Ezetap,23.33,310000000,178364,One-time Purchase,Merchant Financing,Metropolitan Cities
Vend,3.29,837000000,110386,One-time Purchase,Merchant Financing,Tier 2 Cities
Posiflex,11.8,128000000,141701,Subscription,Enterprise Solutions,Tier 2 Cities
Retail Pro,9.1,707000000,98246,Subscription,Inventory Management,Metropolitan Cities
Paytm,21.9,672000000,100864,Subscription,Merchant Financing,Nationwide
RetailGraph,3.0,819000000,13417,One-time Purchase,E-commerce Integration,Tier 2 Cities
Unicommerce,6.07,654000000,123888,Subscription,Merchant Financing,Metropolitan Cities
RetailNext,19.06,574000000,170837,One-time Purchase,Inventory Management,Nationwide
RetailNext,2.23,821000000,79499,One-time Purchase,Merchant Financing,Tier 2 Cities
RetailGraph,12.82,987000000,135908,Subscription,E-commerce Integration,Nationwide
Shopify POS,11.61,670000000,192646,Subscription,Customer Loyalty,Rural Areas
Unicommerce,9.03,379000000,32675,One-time Purchase,Integrated Payments,Rural Areas
Vend,10.47,238000000,176635,Subscription,E-commerce Integration,Nationwide
Pine Labs,13.72,144000000,16332,Subscription,Inventory Management,Tier 2 Cities
FusionResto,4.87,666000000,24177,One-time Purchase,Integrated Payments,Metropolitan Cities
Tally,14.73,57000000,135560,One-time Purchase,Integrated Payments,Tier 1 Cities
Just Billing,20.33,116000000,62104,One-time Purchase,Inventory Management,Metropolitan Cities
Ezetap,19.24,545000000,89335,One-time Purchase,Enterprise Solutions,Tier 1 Cities
Tally,4.69,240000000,119938,One-time Purchase,Mobile POS,Tier 1 Cities
FusionResto,4.58,415000000,85730,Subscription,Merchant Financing,Tier 2 Cities
SnapBizz,7.44,817000000,141023,One-time Purchase,E-commerce Integration,Nationwide
Pine Labs,9.67,570000000,33333,One-time Purchase,Inventory Management,Metropolitan Cities
Ezetap,10.8,166000000,26673,One-time Purchase,Customer Loyalty,Nationwide
Retail Pro,17.31,316000000,119421,Subscription,Analytics,Rural Areas
Ezetap,2.36,660000000,45870,One-time Purchase,Inventory Management,Tier 2 Cities
Pine Labs,1.83,534000000,132536,One-time Purchase,Merchant Financing,Tier 2 Cities
RetailGraph,10.41,558000000,76101,One-time Purchase,Merchant Financing,Rural Areas
Unicommerce,17.73,347000000,27821,Subscription,Integrated Payments,Metropolitan Cities
Petpooja,5.64,958000000,30494,One-time Purchase,Integrated Payments,Rural Areas
RetailNext,16.4,213000000,104477,One-time Purchase,Inventory Management,Metropolitan Cities
Ezetap,7.24,425000000,131083,One-time Purchase,Analytics,Tier 1 Cities
Mswipe,22.27,702000000,117698,Subscription,Enterprise Solutions,Tier 2 Cities
Marg ERP,22.5,317000000,116560,Subscription,Inventory Management,Metropolitan Cities
Posiflex,8.13,598000000,136907,Subscription,Analytics,Nationwide
Razorpay,6.52,123000000,23646,Subscription,Enterprise Solutions,Nationwide
Pine Labs,10.87,557000000,128777,One-time Purchase,Analytics,Tier 2 Cities
Logic ERP,6.77,122000000,82360,One-time Purchase,Merchant Financing,Rural Areas
Shopify POS,17.14,357000000,42335,Subscription,Merchant Financing,Rural Areas
Posiflex,20.83,248000000,74351,Subscription,Merchant Financing,Metropolitan Cities
Marg ERP,17.15,179000000,119934,One-time Purchase,Customer Loyalty,Rural Areas
Retail Pro,20.78,807000000,138501,One-time Purchase,Merchant Financing,Tier 2 Cities
RetailNext,10.53,873000000,46950,Subscription,E-commerce Integration,Metropolitan Cities
Shopify POS,4.75,621000000,65654,Subscription,Integrated Payments,Tier 1 Cities
RetailGraph,18.71,840000000,112422,Subscription,Integrated Payments,Rural Areas
Gofrugal,9.65,664000000,114934,Subscription,Analytics,Rural Areas
Petpooja,17.11,857000000,124975,One-time Purchase,Integrated Payments,Metropolitan Cities
Vend,7.5,881000000,96186,Subscription,Mobile POS,Nationwide
Gofrugal,2.95,536000000,109234,Subscription,Enterprise Solutions,Rural Areas
FusionResto,24.82,902000000,107326,One-time Purchase,Analytics,Tier 2 Cities
Mswipe,4.75,200000000,82527,One-time Purchase,Integrated Payments,Rural Areas
SnapBizz,24.72,718000000,91704,One-time Purchase,Mobile POS,Tier 1 Cities
Ezetap,24.45,255000000,167171,One-time Purchase,Enterprise Solutions,Rural Areas
Petpooja,20.05,228000000,175457,One-time Purchase,Customer Loyalty,Nationwide
Ezetap,16.83,246000000,171991,Subscription,Integrated Payments,Rural Areas
RetailGraph,14.87,784000000,101952,Subscription,Mobile POS,Metropolitan Cities
Shopify POS,21.79,138000000,65782,Subscription,Inventory Management,Rural Areas
Petpooja,7.95,848000000,76116,One-time Purchase,E-commerce Integration,Nationwide
FusionResto,12.22,483000000,94626,Subscription,Inventory Management,Metropolitan Cities
FusionResto,15.87,837000000,176459,One-time Purchase,Mobile POS,Tier 2 Cities
Tally,10.87,797000000,151895,Subscription,Analytics,Metropolitan Cities
Posiflex,11.26,232000000,51015,Subscription,Merchant Financing,Tier 1 Cities
Paytm,8.93,258000000,107877,One-time Purchase,Merchant Financing,Metropolitan Cities
Gofrugal,14.54,542000000,20339,One-time Purchase,Merchant Financing,Tier 2 Cities
Mswipe,21.41,179000000,139563,Subscription,Enterprise Solutions,Rural Areas
Paytm,5.84,714000000,136778,Subscription,Analytics,Metropolitan Cities
Unicommerce,23.43,62000000,102493,Subscription,Enterprise Solutions,Metropolitan Cities
Mswipe,17.54,683000000,151800,Subscription,Integrated Payments,Metropolitan Cities
Gofrugal,20.76,920000000,143069,Subscription,Merchant Financing,Metropolitan Cities
SnapBizz,14.35,781000000,196480,One-time Purchase,Inventory Management,Tier 2 Cities
Just Billing,19.71,155000000,194169,One-time Purchase,Analytics,Nationwide
Posiflex,1.39,424000000,134526,One-time Purchase,Analytics,Nationwide
Marg ERP,20.64,631000000,174595,One-time Purchase,Merchant Financing,Metropolitan Cities
SnapBizz,1.96,756000000,126648,Subscription,Inventory Management,Tier 2 Cities
Shopify POS,22.36,747000000,30163,Subscription,Customer Loyalty,Tier 2 Cities
Petpooja,24.81,148000000,153790,One-time Purchase,Analytics,Metropolitan Cities
Shopify POS,8.06,643000000,92508,Subscription,Merchant Financing,Tier 1 Cities
Tally,6.05,636000000,44619,One-time Purchase,E-commerce Integration,Metropolitan Cities
RetailNext,19.37,935000000,17126,Subscription,Mobile POS,Tier 1 Cities
